,F1,AUC,Mean Minority Recall
"('wine', 'Logistic Regression', 'No Sampling')",0.9802171513946117,0.7613789576330292,0.015384615384615385
"('wine', 'Logistic Regression', 'SMOTE')",0.8540440189825894,0.7701115930757625,0.6705128205128205
"('wine', 'Logistic Regression', 'ADASYN')",0.8560365869011829,0.7700837707352365,0.6705128205128205
"('wine', 'Logistic Regression', 'Undersampling')",0.8121224970664758,0.7662723134628673,0.7320512820512821
"('wine', 'Logistic Regression', 'Oversampling')",0.8487706197924162,0.7747050181089269,0.7038461538461538
"('wine', 'Logistic Regression', 'Gamma')",0.7955218021643908,0.7566834766753334,0.75
"('wine', 'Random Forest', 'No Sampling')",0.9788983584209076,0.8189950725170595,0.03205128205128205
"('wine', 'Random Forest', 'SMOTE')",0.9674058535773862,0.788942612761831,0.18974358974358976
"('wine', 'Random Forest', 'ADASYN')",0.9674244020951994,0.7857120078618449,0.18846153846153849
"('wine', 'Random Forest', 'Undersampling')",0.8418177917931391,0.7805409031793398,0.6679487179487179
"('wine', 'Random Forest', 'Oversampling')",0.9776050167772095,0.7974773665530994,0.015384615384615385
"('wine', 'Random Forest', 'Gamma')",0.9729112052564787,0.7398376731845786,0.09487179487179487
"('wine', 'SVM', 'No Sampling')",0.9799042867467882,0.6312050056349731,0.0
"('wine', 'SVM', 'SMOTE')",0.8546947664033977,0.7677817567882714,0.6538461538461539
"('wine', 'SVM', 'ADASYN')",0.8485937251488977,0.7668809610584855,0.6705128205128206
"('wine', 'SVM', 'Undersampling')",0.827675033152769,0.7677614594959872,0.7153846153846154
"('wine', 'SVM', 'Oversampling')",0.8449766817900489,0.7731816364959687,0.6858974358974359
"('wine', 'SVM', 'Gamma')",0.7792599711039501,0.7441481021692748,0.7166666666666667
"('wine', 'KNN', 'No Sampling')",0.9788440136477489,0.6040099083869441,0.09358974358974359
"('wine', 'KNN', 'SMOTE')",0.9302586056398411,0.6376179737743255,0.41410256410256413
"('wine', 'KNN', 'ADASYN')",0.9288421371123137,0.6531967760795123,0.39871794871794874
"('wine', 'KNN', 'Undersampling')",0.8321196312785707,0.6768883328940333,0.5884615384615385
"('wine', 'KNN', 'Oversampling')",0.960309700257139,0.6019793114052071,0.2217948717948718
"('wine', 'KNN', 'Gamma')",0.9076297591575081,0.5488123711250747,0.2230769230769231
"('abalone', 'Logistic Regression', 'No Sampling')",0.0,0.8103800640599343,0.0
"('abalone', 'Logistic Regression', 'SMOTE')",0.3580084299229,0.8267329907157235,0.8645569620253164
"('abalone', 'Logistic Regression', 'ADASYN')",0.35262597454099626,0.8253794092194842,0.8722168127231418
"('abalone', 'Logistic Regression', 'Undersampling')",0.35584099424529353,0.81051725270721,0.8085037325543654
"('abalone', 'Logistic Regression', 'Oversampling')",0.3556522639837463,0.8242572508577576,0.8569620253164556
"('abalone', 'Logistic Regression', 'Gamma')",0.3566313734062344,0.8254056310065693,0.8594936708860759
"('abalone', 'Random Forest', 'No Sampling')",0.16269770550774396,0.8383048535631122,0.10736773774748458
"('abalone', 'Random Forest', 'SMOTE')",0.3561542677466621,0.8436950975923935,0.41960402466731583
"('abalone', 'Random Forest', 'ADASYN')",0.3561763388272638,0.8397677341746507,0.41707237909769557
"('abalone', 'Random Forest', 'Undersampling')",0.38848260637678045,0.8548606316264415,0.8133398247322298
"('abalone', 'Random Forest', 'Oversampling')",0.26556050701514267,0.840065174473702,0.23018500486854915
"('abalone', 'Random Forest', 'Gamma')",0.34394152780610665,0.844310538842322,0.38373904576436224
"('abalone', 'SVM', 'No Sampling')",0.0,0.6354397897637758,0.0
"('abalone', 'SVM', 'SMOTE')",0.3491887837716604,0.8379964783748634,0.9054527750730281
"('abalone', 'SVM', 'ADASYN')",0.3367417759927889,0.8386918559316439,0.9156442713404738
"('abalone', 'SVM', 'Undersampling')",0.3396517447747668,0.8116412184147774,0.8264524505030832
"('abalone', 'SVM', 'Oversampling')",0.3490362820251363,0.8326089359746526,0.897825381369685
"('abalone', 'SVM', 'Gamma')",0.3460406448961963,0.8356499616516532,0.9003570269393053
"('abalone', 'KNN', 'No Sampling')",0.2520797364735586,0.7139089448542458,0.20960727036676405
"('abalone', 'KNN', 'SMOTE')",0.35726872603904536,0.7578849382796882,0.6213242453748783
"('abalone', 'KNN', 'ADASYN')",0.3526031608136546,0.7501469595824469,0.6316455696202532
"('abalone', 'KNN', 'Undersampling')",0.37346606161115825,0.8139038790593396,0.8004543979227524
"('abalone', 'KNN', 'Oversampling')",0.3393198971937187,0.7101243003007248,0.47552742616033755
"('abalone', 'KNN', 'Gamma')",0.3512854776835523,0.7552173950039057,0.5777994157740993
"('abalone_19', 'Logistic Regression', 'No Sampling')",0.0,0.6624159917284164,0.0
"('abalone_19', 'Logistic Regression', 'SMOTE')",0.046582151028858994,0.8117008443908323,0.7238095238095238
"('abalone_19', 'Logistic Regression', 'ADASYN')",0.046548770982770306,0.8129760468723074,0.7238095238095238
"('abalone_19', 'Logistic Regression', 'Undersampling')",0.021821488638094143,0.706875753920386,0.7523809523809525
"('abalone_19', 'Logistic Regression', 'Oversampling')",0.047728022029229246,0.8071974266184156,0.7571428571428571
"('abalone_19', 'Logistic Regression', 'Gamma')",0.04421245338637818,0.8114538457119881,0.7238095238095238
"('abalone_19', 'Random Forest', 'No Sampling')",0.0,0.656453558504222,0.0
"('abalone_19', 'Random Forest', 'SMOTE')",0.05443223443223444,0.758604744672296,0.09523809523809523
"('abalone_19', 'Random Forest', 'ADASYN')",0.04962406015037594,0.780662301108622,0.09523809523809523
"('abalone_19', 'Random Forest', 'Undersampling')",0.0335101411582547,0.7832385547705211,0.7476190476190475
"('abalone_19', 'Random Forest', 'Oversampling')",0.05,0.6362944454018037,0.03333333333333333
"('abalone_19', 'Random Forest', 'Gamma')",0.03333333333333333,0.7460365328278475,0.03333333333333333
"('abalone_19', 'SVM', 'No Sampling')",0.0,0.5234591303348843,0.0
"('abalone_19', 'SVM', 'SMOTE')",0.04428016876374299,0.8119133781377448,0.7238095238095238
"('abalone_19', 'SVM', 'ADASYN')",0.04403703267104135,0.8132115572405076,0.7238095238095238
"('abalone_19', 'SVM', 'Undersampling')",0.024376345982394843,0.7140013785972773,0.8476190476190476
"('abalone_19', 'SVM', 'Oversampling')",0.04352705926476418,0.8033718191739905,0.7523809523809524
"('abalone_19', 'SVM', 'Gamma')",0.047170832790939754,0.8151530817393302,0.8142857142857143
"('abalone_19', 'KNN', 'No Sampling')",0.0,0.4886610373944511,0.0
"('abalone_19', 'KNN', 'SMOTE')",0.04149960152411133,0.617060141306221,0.2571428571428572
"('abalone_19', 'KNN', 'ADASYN')",0.042030755314337406,0.6161554368430122,0.2571428571428572
"('abalone_19', 'KNN', 'Undersampling')",0.0245613660080313,0.7019731173530933,0.6904761904761905
"('abalone_19', 'KNN', 'Oversampling')",0.0,0.4886610373944511,0.0
"('abalone_19', 'KNN', 'Gamma')",0.011764705882352941,0.49193520592796824,0.02857142857142857
"('car_eval_4', 'Logistic Regression', 'No Sampling')",0.7997626324857446,0.9982425892064446,0.7076923076923076
"('car_eval_4', 'Logistic Regression', 'SMOTE')",0.8014532019704432,0.9982887892526447,1.0
"('car_eval_4', 'Logistic Regression', 'ADASYN')",0.8014532019704432,0.997965110615713,1.0
"('car_eval_4', 'Logistic Regression', 'Undersampling')",0.43173896003265605,0.9961612214624262,1.0
"('car_eval_4', 'Logistic Regression', 'Oversampling')",0.8014532019704432,0.9984735894374449,1.0
"('car_eval_4', 'Logistic Regression', 'Gamma')",0.6135087719298246,0.9908901023358855,1.0
"('car_eval_4', 'Random Forest', 'No Sampling')",0.8796363636363637,0.9996532213399683,0.8000000000000002
"('car_eval_4', 'Random Forest', 'SMOTE')",0.9375661375661375,0.9998844998844998,0.923076923076923
"('car_eval_4', 'Random Forest', 'ADASYN')",0.9510982286634458,0.9996995605429341,0.9384615384615385
"('car_eval_4', 'Random Forest', 'Undersampling')",0.6366229526037982,0.9984731023887651,1.0
"('car_eval_4', 'Random Forest', 'Oversampling')",0.9555148555148556,0.9999075999075998,0.9846153846153847
"('car_eval_4', 'Random Forest', 'Gamma')",0.9544159544159545,0.9996302604736339,0.9692307692307693
"('car_eval_4', 'SVM', 'No Sampling')",0.7986306120247214,0.9971322573732213,0.8153846153846154
"('car_eval_4', 'SVM', 'SMOTE')",0.8182635467980296,0.9972691876306333,1.0
"('car_eval_4', 'SVM', 'ADASYN')",0.8182635467980296,0.9973155268335991,1.0
"('car_eval_4', 'SVM', 'Undersampling')",0.6953864045420899,0.9961129340647414,1.0
"('car_eval_4', 'SVM', 'Oversampling')",0.8182635467980296,0.997131144119096,1.0
"('car_eval_4', 'SVM', 'Gamma')",0.6271233639654692,0.9870017839897358,1.0
"('car_eval_4', 'KNN', 'No Sampling')",0.16,0.7923076923076924,0.09230769230769231
"('car_eval_4', 'KNN', 'SMOTE')",0.5010927993839045,0.9553015248798381,0.9846153846153847
"('car_eval_4', 'KNN', 'ADASYN')",0.5024911364965273,0.9570598401923702,0.9846153846153847
"('car_eval_4', 'KNN', 'Undersampling')",0.4003798100949525,0.9697379260632273,0.9846153846153847
"('car_eval_4', 'KNN', 'Oversampling')",0.16,0.7923076923076924,0.09230769230769231
"('car_eval_4', 'KNN', 'Gamma')",0.6498897945669825,0.9594769236335502,0.8461538461538461
