Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.714,0.758,0.75,0.814,0.71,0.758
abalone_19,0.489,0.617,0.616,0.702,0.489,0.492
car_eval_34,0.746,0.91,0.924,0.949,0.746,0.91
car_eval_4,0.792,0.955,0.957,0.97,0.792,0.978
ecoli,0.876,0.866,0.863,0.926,0.866,0.858
letter_img,0.998,0.998,0.998,0.986,0.997,0.997
optical_digits,0.992,0.997,0.996,0.996,0.992,0.996
pen_digits,0.997,0.999,0.999,0.998,0.997,0.997
satimage,0.918,0.936,0.936,0.928,0.913,0.924
sick_euthyroid,0.856,0.864,0.862,0.882,0.856,0.823
solar_flare_m0,0.629,0.671,0.663,0.728,0.63,0.629
thyroid_sick,0.822,0.838,0.836,0.903,0.819,0.81
us_crime,0.759,0.835,0.832,0.859,0.755,0.824
wine,0.604,0.638,0.653,0.677,0.602,0.561
wine_quality,0.687,0.733,0.73,0.7,0.691,0.705
yeast_me2,0.779,0.842,0.848,0.88,0.78,0.815
