Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.252,0.357,0.353,0.373,0.339,0.354
abalone_19,0.0,0.041,0.042,0.025,0.0,0.013
car_eval_34,0.097,0.527,0.546,0.537,0.097,0.571
car_eval_4,0.16,0.501,0.502,0.4,0.16,0.677
ecoli,0.591,0.572,0.565,0.556,0.574,0.535
letter_img,0.978,0.962,0.964,0.524,0.972,0.96
optical_digits,0.979,0.98,0.978,0.918,0.983,0.963
pen_digits,0.993,0.993,0.993,0.946,0.992,0.989
satimage,0.693,0.621,0.612,0.53,0.67,0.586
sick_euthyroid,0.547,0.565,0.56,0.424,0.581,0.471
solar_flare_m0,0.126,0.218,0.205,0.19,0.173,0.182
thyroid_sick,0.5,0.529,0.516,0.415,0.522,0.43
us_crime,0.416,0.44,0.43,0.405,0.423,0.389
wine,0.979,0.93,0.929,0.832,0.96,0.91
wine_quality,0.133,0.242,0.231,0.134,0.322,0.211
yeast_me2,0.36,0.357,0.355,0.217,0.401,0.362
