Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.21,0.621,0.632,0.8,0.476,0.591
abalone_19,0.0,0.257,0.257,0.69,0.0,0.029
car_eval_34,0.052,0.888,0.873,0.926,0.052,0.806
car_eval_4,0.092,0.985,0.985,0.985,0.092,0.923
ecoli,0.571,0.714,0.743,0.971,0.686,0.714
letter_img,0.978,0.995,0.996,0.996,0.988,0.993
optical_digits,0.964,0.987,0.986,0.993,0.98,0.989
pen_digits,0.991,0.996,0.996,0.997,0.995,0.995
satimage,0.692,0.917,0.943,0.926,0.837,0.907
sick_euthyroid,0.468,0.666,0.649,0.853,0.693,0.587
solar_flare_m0,0.088,0.401,0.386,0.471,0.147,0.19
thyroid_sick,0.381,0.602,0.606,0.866,0.58,0.459
us_crime,0.327,0.713,0.707,0.82,0.473,0.7
wine,0.094,0.414,0.399,0.588,0.222,0.24
wine_quality,0.087,0.534,0.523,0.6,0.387,0.474
yeast_me2,0.293,0.685,0.705,0.824,0.547,0.665
