Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.81,0.827,0.825,0.811,0.824,0.826
abalone_19,0.662,0.812,0.813,0.707,0.807,0.811
car_eval_34,0.998,0.998,0.998,0.997,0.998,0.984
car_eval_4,0.998,0.998,0.998,0.996,0.998,0.99
ecoli,0.944,0.944,0.94,0.925,0.94,0.944
letter_img,0.984,0.988,0.983,0.985,0.988,0.988
optical_digits,0.983,0.984,0.978,0.981,0.983,0.983
pen_digits,0.971,0.977,0.946,0.966,0.977,0.977
satimage,0.756,0.76,0.751,0.746,0.76,0.759
sick_euthyroid,0.923,0.942,0.944,0.909,0.945,0.908
solar_flare_m0,0.793,0.77,0.77,0.767,0.76,0.774
thyroid_sick,0.92,0.938,0.939,0.902,0.942,0.917
us_crime,0.924,0.915,0.912,0.92,0.915,0.92
wine,0.761,0.77,0.77,0.766,0.775,0.762
wine_quality,0.772,0.774,0.776,0.76,0.771,0.777
yeast_me2,0.886,0.882,0.881,0.892,0.881,0.881
