Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.0,0.358,0.353,0.356,0.356,0.352
abalone_19,0.0,0.047,0.047,0.022,0.048,0.044
car_eval_34,0.855,0.835,0.827,0.638,0.827,0.59
car_eval_4,0.8,0.801,0.801,0.432,0.801,0.605
ecoli,0.0,0.578,0.522,0.464,0.563,0.576
letter_img,0.627,0.549,0.462,0.475,0.538,0.544
optical_digits,0.827,0.789,0.717,0.742,0.766,0.787
pen_digits,0.752,0.722,0.555,0.638,0.713,0.72
satimage,0.0,0.295,0.3,0.292,0.294,0.295
sick_euthyroid,0.179,0.552,0.539,0.412,0.543,0.4
solar_flare_m0,0.067,0.174,0.184,0.183,0.179,0.205
thyroid_sick,0.154,0.451,0.449,0.327,0.446,0.327
us_crime,0.494,0.48,0.459,0.455,0.479,0.46
wine,0.98,0.854,0.856,0.812,0.849,0.792
wine_quality,0.021,0.174,0.175,0.162,0.168,0.162
yeast_me2,0.0,0.263,0.259,0.256,0.266,0.259
