Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.0,0.865,0.872,0.809,0.857,0.849
abalone_19,0.0,0.724,0.724,0.752,0.757,0.724
car_eval_34,0.777,1.0,1.0,1.0,1.0,1.0
car_eval_4,0.708,1.0,1.0,1.0,1.0,1.0
ecoli,0.0,0.886,0.886,0.943,0.886,0.886
letter_img,0.49,0.965,0.954,0.974,0.966,0.966
optical_digits,0.764,0.915,0.922,0.939,0.937,0.922
pen_digits,0.664,0.928,0.941,0.918,0.931,0.927
satimage,0.0,0.856,0.874,0.894,0.859,0.867
sick_euthyroid,0.102,0.918,0.918,0.905,0.925,0.915
solar_flare_m0,0.044,0.547,0.59,0.662,0.56,0.646
thyroid_sick,0.087,0.883,0.879,0.853,0.879,0.914
us_crime,0.393,0.78,0.793,0.873,0.8,0.82
wine,0.015,0.671,0.671,0.732,0.704,0.717
wine_quality,0.011,0.644,0.661,0.628,0.661,0.726
yeast_me2,0.0,0.727,0.765,0.862,0.767,0.747
