Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.838,0.844,0.84,0.855,0.84,0.844
abalone_19,0.656,0.759,0.781,0.783,0.636,0.759
car_eval_34,0.998,0.998,0.998,0.997,0.998,0.997
car_eval_4,1.0,1.0,1.0,0.998,1.0,1.0
ecoli,0.929,0.93,0.928,0.934,0.925,0.928
letter_img,1.0,1.0,1.0,0.999,1.0,1.0
optical_digits,0.999,0.999,0.999,0.998,0.999,0.999
pen_digits,1.0,1.0,1.0,1.0,1.0,1.0
satimage,0.96,0.963,0.964,0.951,0.964,0.962
sick_euthyroid,0.984,0.983,0.986,0.983,0.985,0.974
solar_flare_m0,0.771,0.766,0.758,0.776,0.755,0.751
thyroid_sick,0.994,0.996,0.995,0.99,0.997,0.986
us_crime,0.912,0.916,0.908,0.914,0.917,0.918
wine,0.819,0.789,0.786,0.781,0.797,0.748
wine_quality,0.882,0.88,0.877,0.851,0.898,0.877
yeast_me2,0.922,0.933,0.932,0.909,0.937,0.926
