Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.163,0.356,0.356,0.388,0.266,0.345
abalone_19,0.0,0.054,0.05,0.034,0.05,0.044
car_eval_34,0.88,0.91,0.911,0.738,0.914,0.889
car_eval_4,0.88,0.938,0.951,0.637,0.956,0.954
ecoli,0.553,0.625,0.612,0.535,0.532,0.585
letter_img,0.958,0.964,0.96,0.781,0.961,0.96
optical_digits,0.884,0.929,0.908,0.899,0.925,0.928
pen_digits,0.98,0.987,0.983,0.981,0.987,0.988
satimage,0.636,0.686,0.687,0.564,0.688,0.679
sick_euthyroid,0.864,0.863,0.858,0.799,0.873,0.798
solar_flare_m0,0.082,0.137,0.121,0.195,0.21,0.211
thyroid_sick,0.838,0.868,0.875,0.71,0.875,0.813
us_crime,0.464,0.484,0.489,0.447,0.458,0.498
wine,0.979,0.967,0.967,0.842,0.978,0.971
wine_quality,0.268,0.421,0.4,0.224,0.336,0.386
yeast_me2,0.223,0.425,0.46,0.274,0.364,0.391
