Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.107,0.42,0.417,0.813,0.23,0.391
abalone_19,0.0,0.095,0.095,0.748,0.033,0.033
car_eval_34,0.843,0.903,0.918,1.0,0.94,0.889
car_eval_4,0.8,0.923,0.938,1.0,0.985,0.954
ecoli,0.514,0.686,0.686,0.971,0.514,0.629
letter_img,0.925,0.939,0.932,0.986,0.933,0.931
optical_digits,0.792,0.874,0.841,0.964,0.865,0.87
pen_digits,0.963,0.978,0.972,0.988,0.977,0.979
satimage,0.513,0.685,0.7,0.891,0.626,0.68
sick_euthyroid,0.836,0.87,0.864,0.925,0.877,0.813
solar_flare_m0,0.058,0.132,0.132,0.751,0.365,0.364
thyroid_sick,0.766,0.84,0.844,0.948,0.844,0.762
us_crime,0.36,0.493,0.527,0.867,0.38,0.567
wine,0.032,0.19,0.188,0.668,0.015,0.047
wine_quality,0.164,0.437,0.41,0.781,0.224,0.344
yeast_me2,0.136,0.471,0.511,0.92,0.256,0.415
