Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.635,0.838,0.839,0.812,0.833,0.836
abalone_19,0.523,0.812,0.813,0.714,0.803,0.812
car_eval_34,0.997,0.997,0.997,0.996,0.996,0.982
car_eval_4,0.997,0.997,0.997,0.996,0.997,0.987
ecoli,0.947,0.941,0.926,0.924,0.932,0.945
letter_img,0.982,0.987,0.982,0.986,0.987,0.987
optical_digits,0.982,0.983,0.977,0.981,0.982,0.982
pen_digits,0.968,0.977,0.943,0.973,0.977,0.977
satimage,0.689,0.76,0.749,0.751,0.759,0.76
sick_euthyroid,0.947,0.952,0.952,0.939,0.953,0.925
solar_flare_m0,0.568,0.75,0.749,0.746,0.743,0.752
thyroid_sick,0.949,0.949,0.949,0.917,0.95,0.92
us_crime,0.917,0.91,0.904,0.915,0.906,0.915
wine,0.631,0.768,0.767,0.768,0.773,0.747
wine_quality,0.626,0.779,0.783,0.762,0.775,0.788
yeast_me2,0.803,0.879,0.875,0.886,0.875,0.877
