Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.0,0.349,0.337,0.34,0.349,0.35
abalone_19,0.0,0.044,0.044,0.024,0.044,0.046
car_eval_34,0.871,0.913,0.913,0.678,0.913,0.602
car_eval_4,0.799,0.818,0.818,0.695,0.818,0.635
ecoli,0.0,0.577,0.496,0.482,0.541,0.577
letter_img,0.747,0.558,0.455,0.496,0.547,0.549
optical_digits,0.842,0.792,0.719,0.737,0.771,0.78
pen_digits,0.79,0.726,0.537,0.684,0.722,0.726
satimage,0.0,0.295,0.29,0.287,0.294,0.293
sick_euthyroid,0.075,0.6,0.584,0.458,0.578,0.429
solar_flare_m0,0.0,0.168,0.177,0.186,0.171,0.163
thyroid_sick,0.0,0.486,0.481,0.342,0.483,0.331
us_crime,0.51,0.471,0.45,0.438,0.445,0.456
wine,0.98,0.855,0.849,0.828,0.845,0.786
wine_quality,0.0,0.18,0.184,0.178,0.182,0.177
yeast_me2,0.0,0.276,0.28,0.268,0.289,0.279
