Dataset,Original,SMOTE,ADASYN,RUS,ROS,Gamma
abalone,0.0,0.905,0.916,0.826,0.898,0.905
abalone_19,0.0,0.724,0.724,0.848,0.752,0.786
car_eval_34,0.851,1.0,1.0,1.0,1.0,1.0
car_eval_4,0.815,1.0,1.0,1.0,1.0,1.0
ecoli,0.0,0.886,0.886,0.943,0.886,0.914
letter_img,0.627,0.967,0.955,0.975,0.967,0.967
optical_digits,0.785,0.919,0.917,0.944,0.942,0.922
pen_digits,0.707,0.932,0.944,0.934,0.94,0.935
satimage,0.0,0.941,0.946,0.954,0.952,0.947
sick_euthyroid,0.044,0.925,0.928,0.935,0.928,0.915
solar_flare_m0,0.0,0.576,0.62,0.662,0.558,0.589
thyroid_sick,0.0,0.874,0.861,0.879,0.874,0.918
us_crime,0.393,0.767,0.78,0.86,0.76,0.827
wine,0.0,0.654,0.671,0.715,0.686,0.717
wine_quality,0.0,0.644,0.666,0.573,0.65,0.726
yeast_me2,0.0,0.727,0.785,0.862,0.787,0.785
