Dataset,Model,Sampling,F1,AUC,Mean Minority Recall
wine,Logistic Regression,No Sampling,0.980,0.761,0.015
wine,Logistic Regression,SMOTE,0.854,0.770,0.671
wine,Logistic Regression,ADASYN,0.856,0.770,0.671
wine,Logistic Regression,Undersampling,0.812,0.766,0.732
wine,Logistic Regression,Oversampling,0.849,0.775,0.704
wine,Logistic Regression,Gamma,0.792,0.762,0.717
wine,Random Forest,No Sampling,0.979,0.819,0.032
wine,Random Forest,SMOTE,0.967,0.789,0.190
wine,Random Forest,ADASYN,0.967,0.786,0.188
wine,Random Forest,Undersampling,0.842,0.781,0.668
wine,Random Forest,Oversampling,0.978,0.797,0.015
wine,Random Forest,Gamma,0.971,0.748,0.047
wine,SVM,No Sampling,0.980,0.631,0.000
wine,SVM,SMOTE,0.855,0.768,0.654
wine,SVM,ADASYN,0.849,0.767,0.671
wine,SVM,Undersampling,0.828,0.768,0.715
wine,SVM,Oversampling,0.845,0.773,0.686
wine,SVM,Gamma,0.786,0.747,0.717
wine,KNN,No Sampling,0.979,0.604,0.094
wine,KNN,SMOTE,0.930,0.638,0.414
wine,KNN,ADASYN,0.929,0.653,0.399
wine,KNN,Undersampling,0.832,0.677,0.588
wine,KNN,Oversampling,0.960,0.602,0.222
wine,KNN,Gamma,0.910,0.561,0.240
abalone,Logistic Regression,No Sampling,0.000,0.810,0.000
abalone,Logistic Regression,SMOTE,0.358,0.827,0.865
abalone,Logistic Regression,ADASYN,0.353,0.825,0.872
abalone,Logistic Regression,Undersampling,0.356,0.811,0.809
abalone,Logistic Regression,Oversampling,0.356,0.824,0.857
abalone,Logistic Regression,Gamma,0.352,0.826,0.849
abalone,Random Forest,No Sampling,0.163,0.838,0.107
abalone,Random Forest,SMOTE,0.356,0.844,0.420
abalone,Random Forest,ADASYN,0.356,0.840,0.417
abalone,Random Forest,Undersampling,0.388,0.855,0.813
abalone,Random Forest,Oversampling,0.266,0.840,0.230
abalone,Random Forest,Gamma,0.345,0.844,0.391
abalone,SVM,No Sampling,0.000,0.635,0.000
abalone,SVM,SMOTE,0.349,0.838,0.905
abalone,SVM,ADASYN,0.337,0.839,0.916
abalone,SVM,Undersampling,0.340,0.812,0.826
abalone,SVM,Oversampling,0.349,0.833,0.898
abalone,SVM,Gamma,0.350,0.836,0.905
abalone,KNN,No Sampling,0.252,0.714,0.210
abalone,KNN,SMOTE,0.357,0.758,0.621
abalone,KNN,ADASYN,0.353,0.750,0.632
abalone,KNN,Undersampling,0.373,0.814,0.800
abalone,KNN,Oversampling,0.339,0.710,0.476
abalone,KNN,Gamma,0.354,0.758,0.591
abalone_19,Logistic Regression,No Sampling,0.000,0.662,0.000
abalone_19,Logistic Regression,SMOTE,0.047,0.812,0.724
abalone_19,Logistic Regression,ADASYN,0.047,0.813,0.724
abalone_19,Logistic Regression,Undersampling,0.022,0.707,0.752
abalone_19,Logistic Regression,Oversampling,0.048,0.807,0.757
abalone_19,Logistic Regression,Gamma,0.044,0.811,0.724
abalone_19,Random Forest,No Sampling,0.000,0.656,0.000
abalone_19,Random Forest,SMOTE,0.054,0.759,0.095
abalone_19,Random Forest,ADASYN,0.050,0.781,0.095
abalone_19,Random Forest,Undersampling,0.034,0.783,0.748
abalone_19,Random Forest,Oversampling,0.050,0.636,0.033
abalone_19,Random Forest,Gamma,0.044,0.759,0.033
abalone_19,SVM,No Sampling,0.000,0.523,0.000
abalone_19,SVM,SMOTE,0.044,0.812,0.724
abalone_19,SVM,ADASYN,0.044,0.813,0.724
abalone_19,SVM,Undersampling,0.024,0.714,0.848
abalone_19,SVM,Oversampling,0.044,0.803,0.752
abalone_19,SVM,Gamma,0.046,0.812,0.786
abalone_19,KNN,No Sampling,0.000,0.489,0.000
abalone_19,KNN,SMOTE,0.041,0.617,0.257
abalone_19,KNN,ADASYN,0.042,0.616,0.257
abalone_19,KNN,Undersampling,0.025,0.702,0.690
abalone_19,KNN,Oversampling,0.000,0.489,0.000
abalone_19,KNN,Gamma,0.013,0.492,0.029
car_eval_4,Logistic Regression,No Sampling,0.800,0.998,0.708
car_eval_4,Logistic Regression,SMOTE,0.801,0.998,1.000
car_eval_4,Logistic Regression,ADASYN,0.801,0.998,1.000
car_eval_4,Logistic Regression,Undersampling,0.432,0.996,1.000
car_eval_4,Logistic Regression,Oversampling,0.801,0.998,1.000
car_eval_4,Logistic Regression,Gamma,0.605,0.990,1.000
car_eval_4,Random Forest,No Sampling,0.880,1.000,0.800
car_eval_4,Random Forest,SMOTE,0.938,1.000,0.923
car_eval_4,Random Forest,ADASYN,0.951,1.000,0.938
car_eval_4,Random Forest,Undersampling,0.637,0.998,1.000
car_eval_4,Random Forest,Oversampling,0.956,1.000,0.985
car_eval_4,Random Forest,Gamma,0.954,1.000,0.954
car_eval_4,SVM,No Sampling,0.799,0.997,0.815
car_eval_4,SVM,SMOTE,0.818,0.997,1.000
car_eval_4,SVM,ADASYN,0.818,0.997,1.000
car_eval_4,SVM,Undersampling,0.695,0.996,1.000
car_eval_4,SVM,Oversampling,0.818,0.997,1.000
car_eval_4,SVM,Gamma,0.635,0.987,1.000
car_eval_4,KNN,No Sampling,0.160,0.792,0.092
car_eval_4,KNN,SMOTE,0.501,0.955,0.985
car_eval_4,KNN,ADASYN,0.502,0.957,0.985
car_eval_4,KNN,Undersampling,0.400,0.970,0.985
car_eval_4,KNN,Oversampling,0.160,0.792,0.092
car_eval_4,KNN,Gamma,0.677,0.978,0.923
car_eval_34,Logistic Regression,No Sampling,0.855,0.998,0.777
car_eval_34,Logistic Regression,SMOTE,0.835,0.998,1.000
car_eval_34,Logistic Regression,ADASYN,0.827,0.998,1.000
car_eval_34,Logistic Regression,Undersampling,0.638,0.997,1.000
car_eval_34,Logistic Regression,Oversampling,0.827,0.998,1.000
car_eval_34,Logistic Regression,Gamma,0.590,0.984,1.000
car_eval_34,Random Forest,No Sampling,0.880,0.998,0.843
car_eval_34,Random Forest,SMOTE,0.910,0.998,0.903
car_eval_34,Random Forest,ADASYN,0.911,0.998,0.918
car_eval_34,Random Forest,Undersampling,0.738,0.997,1.000
car_eval_34,Random Forest,Oversampling,0.914,0.998,0.940
car_eval_34,Random Forest,Gamma,0.889,0.997,0.889
car_eval_34,SVM,No Sampling,0.871,0.997,0.851
car_eval_34,SVM,SMOTE,0.913,0.997,1.000
car_eval_34,SVM,ADASYN,0.913,0.997,1.000
car_eval_34,SVM,Undersampling,0.678,0.996,1.000
car_eval_34,SVM,Oversampling,0.913,0.996,1.000
car_eval_34,SVM,Gamma,0.602,0.982,1.000
car_eval_34,KNN,No Sampling,0.097,0.746,0.052
car_eval_34,KNN,SMOTE,0.527,0.910,0.888
car_eval_34,KNN,ADASYN,0.546,0.924,0.873
car_eval_34,KNN,Undersampling,0.537,0.949,0.926
car_eval_34,KNN,Oversampling,0.097,0.746,0.052
car_eval_34,KNN,Gamma,0.571,0.910,0.806
ecoli,Logistic Regression,No Sampling,0.000,0.944,0.000
ecoli,Logistic Regression,SMOTE,0.578,0.944,0.886
ecoli,Logistic Regression,ADASYN,0.522,0.940,0.886
ecoli,Logistic Regression,Undersampling,0.464,0.925,0.943
